repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope
147,147,0,NULL,NULL,0,3008,8330,4444,17,21,5,12,16,60740,11,24,0,0,0,0,128,44,716,311,102,746,538,0,717,24,200,1,77,2,34,0,34,0,15,0,15,369,0,555,19,126,0,57,0,987,0.328125,2,0,2445.5,14.5,Long-Heavy,Positive,0.532336878381741
190,190,0,NULL,NULL,0,2521,6714,828,12,25,8,4,2,4214,7,84,0,3,0,2,9,8,87,7,9,87,17,0,42,0,15,3,10,0,2,0,3,0,0,0,2,8,0,32,0,6,1,7,0,313,0.124157080523602,3,0,1533,19,Long-Heavy,Positive,0.047789726995952
1554,1554,0,NULL,NULL,0,3302,4786,830,18,47,14,31,10,2853,1841,36,2530,35,78,14,1329,60,2408,1713,137,2417,594,0,2701,90,1746,1367,577,0,3,0,44,1,28,27,3,418,0,1645,70,655,590,409,0,17392,5.26711084191399,1,0,1789,17,Long-Heavy,Positive,1.51304958269221
1958,1958,0,NULL,NULL,0,3131,717,484,55,73,44,156,9,6014,22,6540,0,18932,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15793,5.04407537527946,1,0,2326.5,103,Long-Heavy,Positive,1.33014401980015
2018,1958,1,NULL,NULL,0,3113,0,0,0,4,4,4,30,240,0,56,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0.03629938965628,3,0,2326.5,103,Long-Heavy,Positive,1.33014401980015
2019,1958,1,NULL,NULL,0,3104,1,1,0,14,14,34,44,511,1,800,0,1921,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33093,10.6614046391753,1,0,2326.5,103,Long-Heavy,Positive,1.33014401980015
4143,4143,0,NULL,NULL,0,2935,764,1428,13,42,17,30,8,2377,48,94,0,29,56,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133,1.06746166950596,1,0,1286,10.5,Long-Heavy,Positive,0.295998058100017
5874,5874,0,NULL,NULL,0,3259,7502,1371,11,23,5,13,8,7970,1,10,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0.36207425590672,2,0,2348,29.5,Long-Heavy,Negative,0.097216749853298
7118,7118,0,NULL,NULL,0,3330,2437,1321,52,64,30,13,5,2918,5,189,0,447,0,22,191,32,489,1070,42,499,591,0,423,13,189,15,568,3,9,0,11,1,4,0,8,232,0,281,4,33,4,218,0,877,0.263363363363363,2,0,796,14,Long-Heavy,Positive,0.06975508472212
7134,7118,1,NULL,NULL,0,2494,1,0,0,2,2,0,2,34,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.003207698476343,6,0.793650793650794,796,14,Long-Low,Positive,0.06975508472212
