repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,new_jaccard,activity,is_hf_parent,all,thirty,seventy,ninety,one_commit,jaccard_median,jaccard_k2,jaccard_k3,j_c_2,jaccard_k4
209514,147,1,NULL,NULL,0,2517,9,2,0,3,0,0,1,2251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914894,Long-Heavy,0,1,0,0,0,1,1,0,0,0,0
269833,147,1,NULL,NULL,0,2633,0,0,0,3,1,1,19,54218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904762,Long-Low,0,1,0,0,0,1,1,1,1,1,1
278435,147,1,NULL,NULL,0,2480,0,1,0,3,0,2,1,210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911111,Long-Low,0,1,0,0,0,1,1,1,1,1,1
306601,147,1,NULL,NULL,0,2689,0,1,0,4,1,1,18,54013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
331355,147,1,NULL,NULL,0,2854,0,0,0,3,1,1,26,68322,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911111,Long-Heavy,0,0,0,0,0,0,1,1,1,1,1
475308,147,1,NULL,NULL,0,2474,0,1,0,2,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911111,Long-Low,0,1,0,0,0,1,1,1,1,1,1
1582972,147,1,NULL,NULL,0,2374,0,0,0,6,4,4,24,58403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Short-Heavy,0,0,0,0,0,1,1,1,1,1,1
1674425,147,1,NULL,NULL,0,2635,2,1,0,3,0,0,0,44,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Long-Heavy,0,1,0,0,0,1,1,1,1,1,1
1719063,147,1,NULL,NULL,0,2369,0,3,0,2,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Short-Low,0,1,0,0,0,1,1,1,1,1,1
1797980,147,1,NULL,NULL,0,2328,1,2,0,3,0,0,0,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Short-Low,0,1,0,0,0,1,1,1,1,1,1
1798065,147,1,NULL,NULL,0,2635,1,0,0,2,1,0,19,53978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904762,Long-Heavy,0,1,0,0,0,1,1,1,1,1,1
1799775,147,1,NULL,NULL,0,2417,2,1,0,3,0,0,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902439,Short-Heavy,0,0,0,0,0,1,1,1,1,1,1
2885685,147,1,NULL,NULL,0,2285,0,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Short-Low,0,1,0,0,0,1,1,1,1,1,1
3402487,147,1,NULL,NULL,0,2236,0,0,0,3,1,2,18,54003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692,Short-Low,0,0,0,0,0,1,1,1,1,0,1
4869913,147,1,4869913,0,1,2122,3,1,0,2,1,2,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,1,1,1,1,1,1,0,1,1,0,1
5222558,147,1,NULL,NULL,0,2095,0,0,0,2,2,1,18,54121,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,0,0,0,0,1,0,0,0,0,1
6683806,147,1,NULL,NULL,0,2247,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Heavy,0,1,1,1,1,1,0,0,0,0,1
296307,190,1,296307,0,1,2486,4,3,0,3,2,0,0,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,Long-Heavy,1,1,0,1,1,1,1,0,0,0,1
363810,190,1,NULL,NULL,0,2497,1,0,0,2,2,0,0,199,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
1716373,190,1,NULL,NULL,0,2364,0,0,0,2,1,0,1,258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608696,Long-Low,0,1,0,0,0,1,1,1,1,1,1
1856228,190,1,NULL,NULL,0,2217,0,0,0,3,3,0,1,127,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,Long-Low,0,0,0,0,0,1,1,1,1,1,1
3643688,190,1,NULL,NULL,0,2167,0,0,0,2,0,0,0,11,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Long-Low,0,1,0,0,0,1,1,1,1,1,1
17786687,190,1,NULL,NULL,0,1533,0,1,0,2,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,1,1,1,1,1,0,1,1,1,1
19495255,190,1,NULL,NULL,0,1212,1,1,0,2,2,0,0,208,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Heavy,0,0,0,0,0,1,0,0,0,0,0
28780199,190,1,NULL,NULL,0,1296,0,0,0,7,1,0,0,252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,Short-Heavy,0,1,0,0,0,1,0,0,0,0,0
49162952,190,1,NULL,NULL,0,949,0,1,0,2,1,0,0,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769,Short-Heavy,0,1,1,1,1,1,1,0,0,0,0
54372550,190,1,NULL,NULL,0,900,1,130,0,2,1,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,1,0,0,0,1,0,0,0,0,0
59968546,190,1,NULL,NULL,0,806,0,1,0,2,1,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,1,0,0,0,1,0,0,0,0,0
102613541,190,1,NULL,NULL,0,335,0,0,0,2,1,0,0,208,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,1,0,0,0,1,0,0,0,0,0
131381,1554,1,131381,0,1,2725,3,1,0,8,3,6,12,1187,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,1,1,0,1,1,1,1,0,0,0,0
226127,1554,1,NULL,NULL,0,2482,1,0,0,6,4,4,12,325,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,1,1,1,1,1,1,1,1
348283,1554,1,NULL,NULL,0,1789,0,0,0,2,2,0,11,277,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Short-Low,0,1,0,0,0,1,1,1,1,1,1
418355,1554,2,NULL,NULL,0,2476,0,0,0,4,2,5,6,296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
418387,1554,1,NULL,NULL,0,2938,0,0,0,5,3,2,11,411,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,1,1,1,1,1,1,1,1
1464833,1554,1,NULL,NULL,0,2719,2,0,0,3,2,1,8,429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,1,1,1,1,1,1,1,1
1464907,1554,1,NULL,NULL,0,2408,0,0,0,2,2,0,9,228,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,1,1,1,1,1,1,1,1
2254768,1554,1,NULL,NULL,0,2328,0,0,0,2,1,0,9,229,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,1,1,1,1,1,1,1,1
