repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope,activity_new_ALL
2018,1958,1,NULL,NULL,0,3113,0,0,0,4,4,4,30,240,0,56,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0.03629939,3,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
2019,1958,1,NULL,NULL,0,3104,1,1,0,14,14,34,44,511,1,800,0,1921,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33093,10.66140464,1,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
19638,19560,1,NULL,NULL,0,2563,0,0,0,5,5,0,9,145,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0.083495903,3,0.92173913,1096,24.5,Long-Heavy,Positive,0.352096946,Social
22669,22668,1,NULL,NULL,0,2493,1,0,0,6,6,1,1,404,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.025671881,4,0.441860465,1809,58.5,Long-Heavy,Positive,0.082846455,Social
61909,7836,1,NULL,NULL,0,2796,0,0,0,16,7,4,12,1887,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0.037195994,3,0.25,2044,14,Long-Heavy,Positive,0.182856435,Social
66794,35846,1,NULL,NULL,0,2553,1,2,0,11,11,4,19,1394,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0.263611438,2,0,481,31,Long-Heavy,Positive,11.54349226,Social
67536,67521,1,NULL,NULL,0,2519,0,0,0,2,1,0,0,224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.001587932,6,0.575757576,1388.5,16.5,Long-Low,Positive,0.064139438,Social
82016,97582,1,NULL,NULL,0,2502,0,0,0,4,4,3,0,65,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.010791367,4,0.352941176,1859,31.5,Long-Low,Positive,0.153062659,Social
84459,1958,1,NULL,NULL,0,2566,1,0,0,12,12,26,36,335,1,495,0,753,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9250,3.604832424,1,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
91042,1958,1,91042,0,1,2644,3,5,1,12,12,30,39,334,0,387,0,2247,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339,0.884644478,2,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
96542,1958,1,NULL,NULL,0,3117,0,0,0,15,15,48,33,1713,0,341,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,0.593198588,2,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
138408,7694902,1,NULL,NULL,0,2578,1,0,0,9,5,2,15,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.025601241,4,0.737704918,1896.5,11.5,Long-Heavy,Positive,0.094867192,Social
158501,1958,1,NULL,NULL,0,2881,0,1,0,10,9,16,34,267,1,899,0,1633,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,1.096841375,1,0.99113082,2326.5,103,Long-Heavy,Positive,1.33014402,Social
223468,1958,1,NULL,NULL,0,2770,0,0,0,11,11,23,27,389,0,483,0,3278,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,1.127075812,1,0,2326.5,103,Long-Heavy,Positive,1.33014402,Social
269833,147,1,NULL,NULL,0,2633,0,0,0,3,1,1,19,54218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00151918,6,0.904761905,2445.5,14.5,Long-Low,Positive,0.532336878,Social
304373,4952332,1,NULL,NULL,0,2479,0,1,0,3,3,1,7,2628,0,40,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0.085114966,3,0.23880597,2205,14,Long-Heavy,Positive,0.474789245,Social
306601,147,1,NULL,NULL,0,2689,0,1,0,4,1,1,18,54013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.014131647,4,0.902439024,2445.5,14.5,Long-Heavy,Positive,0.532336878,Social
309914,7694902,1,NULL,NULL,0,2610,0,0,0,2,2,0,15,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.001532567,6,0.890625,1896.5,11.5,Long-Low,Positive,0.094867192,Social
