repo_id,age,new_jaccard,commit_count,K,,repo_id,age,new_jaccard,commit_count,K,,,Cluster #,Count,Age,Commits,Jaccard Distance
209514,2517,0.914894,18,0,,4869913,2122,0,12,1,,,1,1196,1305,21,0.793651
269833,2633,0.904762,4,0,,5222558,2095,0,5,1,,,2,2117,730,12,0
278435,2480,0.911111,14,0,,6683806,2247,0,18,1,,,,,,,
306601,2689,0.902439,38,0,,17786687,1533,0,19,1,,,,,,,
331355,2854,0.911111,20,0,,19495255,1212,0,88,1,,,,,,,
475308,2474,0.911111,3,0,,28780199,1296,0.142857,24,1,,,,,,,
1582972,2374,0.902439,52,0,,49162952,949,0.230769,34,1,,,,,,,
1674425,2635,0.902439,15,0,,54372550,900,0,2,1,,,,,,,
1719063,2369,0.902439,6,0,,59968546,806,0,2,1,,,,,,,
1797980,2328,0.902439,11,0,,102613541,335,0,5,1,,,,,,,
1798065,2635,0.904762,36,0,,68358145,702,0,3,1,,,,,,,
1799775,2417,0.902439,38,0,,89321187,465,0,13,1,,,,,,,
2885685,2285,0.25,5,0,,94246087,419,0.622222,14,1,,,,,,,
3402487,2236,0.307692,14,0,,118888903,180,0.171429,2,1,,,,,,,
296307,2486,0.52,87,0,,1042502,1831,0,1582,1,,,,,,,
363810,2497,0.5,69,0,,21060540,1453,0,1957,1,,,,,,,
1716373,2364,0.608696,3,0,,57253008,1113,0,4,1,,,,,,,
1856228,2217,0.48,8,0,,76686971,602,0,5,1,,,,,,,
3643688,2167,0.5,6,0,,83438281,530,0,154,1,,,,,,,
131381,2725,1,50,0,,83794253,525,0,15,1,,,,,,,
226127,2482,1,32,0,,107044107,289,0,248,1,,,,,,,
348283,1789,1,14,0,,124151723,127,0.019753,9,1,,,,,,,
418355,2476,1,94,0,,5504194,1888,0,47,1,,,,,,,
418387,2938,1,20,0,,6681816,1750,0,12,1,,,,,,,
1464833,2719,1,144,0,,28501167,1302,0.28,3,1,,,,,,,
1464907,2408,1,25,0,,35828409,1130,0.307692,6,1,,,,,,,
2254768,2328,1,19,0,,44108866,1012,0.307692,6,1,,,,,,,
3406988,2235,1,16,0,,44108886,1012,0.307692,206,1,,,,,,,
8202667,1922,1,5,0,,58076961,827,0.307692,4,1,,,,,,,
32331012,1200,0.961111,99,0,,62258490,779,0.307692,12,1,,,,,,,
33082486,1185,0.965909,3,0,,67984523,707,0.333333,17,1,,,,,,,
46175646,984,0.755102,3,0,,68005721,707,0.307692,5,1,,,,,,,
46668387,977,0.770833,2,0,,69094490,692,0.307692,58,1,,,,,,,
75600466,614,0.659574,23,0,,69687496,685,0.307692,33,1,,,,,,,
85437730,505,0.961111,17,0,,69879173,683,0.307692,5,1,,,,,,,
2018,3113,0,113,0,,71273305,739,0.307692,2,1,,,,,,,
2019,3104,0,33093,0,,73094269,644,0.307692,1,1,,,,,,,
67812,3069,0.980044,588,0,,73814554,634,0.333333,5,1,,,,,,,
67963,2508,0.962306,52,0,,38482226,1090,0,3,1,,,,,,,
