repo_id,ancestor,age,stars,forks,active_forks,depth,user_count,users_also_in_family,followers_repo,followers_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comment,issue_family_comment,issue_outside_comment,issues_subscribed_repo,issues_subscribed_family,issues_subscribed_outside,issues_unsubscribed_repo,issues_unsubscribed_family,issues_unsubscribed_outside,issues_closed_repo,issues_closed_family,issues_closed_outside,issues_reopened_repo,issues_reopened_family,issues_reopened_outside,issues_referenced_repo,issues_referenced_family,issues_referenced_outside,issues_assigned_repo,issues_assigned_family,issues_assigned_outside,issues_mentioned_repo,issues_mentioned_family,issues_mentioned_outside,pr_mentioned_within,pr_mentioned_family
801441,801441,2360,4958,3535,143,0,79,39,77,19,8533,399,691,557,802,748,96,770,54,433,1535,110,445,819,16,225,0,0,0,955,41,320,31,1,9,647,8,55,509,1,27,819,16,225,0,0
2283057,801441,2230,0,0,0,1,1,1,0,14,87,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621128,801441,2209,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3442329,801441,2138,0,0,0,1,3,0,0,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5584334,801441,1973,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8644877,801441,1809,1,0,0,1,1,0,0,0,96,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027407,801441,1731,0,0,0,1,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200879,801441,1669,0,0,0,1,1,1,0,0,29,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12172896,801441,1613,0,0,0,1,3,2,0,25,265,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13655690,801441,1555,0,0,0,1,3,3,0,14,293,2,12,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15806673,801441,1489,0,0,0,1,1,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
