repo_id,full_name,num_commits,type
801441,Activiti/Activiti,10626,baseline
1001861,henryyan/Activiti,4621,hard
1375680,smirzai/Activiti,5569,hard
1839585,f-lombardo/Activiti,2847,hard
1863478,dmitryfar/Activiti,5663,hard
1878253,gro-mar/Activiti,4514,hard
2281603,WhaleShark/Activiti,3944,hard
2283057,pebrc/Activiti,3070,social
2360907,yuanqixun/Activiti,6090,hard
2604516,sleeperor/Activiti,4194,hard
2621128,gemvara/Activiti,3070,hard
2629975,tiesebarrell/Activiti,5881,hard
2950220,balsarori/Activiti,5989,hard
3156724,gokceng/Activiti,5361,social
3211256,mikedias/Activiti,5526,hard
3338215,robinZhao/Activiti,4026,hard
3340590,gtudan/Activiti,3618,hard
3442329,emdev-limited/Activiti,5984,hard
3481655,tstephen/Activiti,5546,hard
4168111,xuhuisheng/Activiti,4392,hard
4451955,wendelkerr/Activiti,4429,hard
4582145,yocki/Activiti,3643,hard
5082031,SamK311/Activiti,3730,hard
5186259,joshlong/Activiti,5184,social
5287185,MPriess/Activiti,4032,hard
5533770,gdenning/Activiti,4362,hard
5584334,birgzim/Activiti,3956,hard
7245699,koncz314/Activiti,4125,hard
7423737,xiongbupt/Activiti,4401,hard
8378293,roskart/Activiti,5691,hard
8480199,leonard84/Activiti,4361,hard
8644877,chkal/Activiti,4361,hard
9492049,dgit-hub/Activiti,5890,hard
9794801,saeidrastak/Activiti,4411,hard
10027407,brett-walker/Activiti,4444,hard
10424721,eduardoraupp/Activiti,4641,hard
10543021,ddefrance/Activiti,4490,hard
10919403,alien11689/Activiti,5220,hard
11200879,aschrijver/Activiti,4786,hard
11379086,work0120/Activiti,4648,hard
11856065,colinstonema/Activiti,4835,hard
12172896,jakobtonn/Activiti,5186,social
12427523,flashboss/Activiti,5632,hard
12710215,netflash/activiti,4866,hard
13013893,tiancheng2000/Activiti,4876,hard
13355712,skay2k/Activiti,5376,hard
13655690,cdeneux/Activiti,6152,hard
14483517,visep/Activiti,5548,hard
14533083,cheleb/Activiti,5181,hard
15640879,Log10Solutions/Activiti,5533,hard
15748608,PointIO/Activiti,5239,hard
15806673,eugenehr/Activiti,5204,hard
16301348,studerw/Activiti,5942,hard
16311269,m4ng0/Activiti,5888,hard
16477211,stephraleigh/Activiti,5241,hard
16528922,vasiledirla/Activiti,5947,hard
17092940,KarnYong/Activiti,5341,social
18747821,mittalabhi2123/Activiti,5616,hard
18917361,jamespatten1/Activiti,5366,social
19452824,chenzhiguo/Activiti,5376,social
20183314,guerreroje/Activiti,5383,hard
21471872,covolution/Activiti,5984,hard
21525810,reva/Activiti,6508,hard
29390632,esarbanis/Activiti,5779,hard
30155770,erikwinlof/Activiti,5678,hard
33175661,vangogh-ken/Activiti,5738,hard
38926608,alirezamirian/Activiti,5867,hard
39251673,MicyToy/Activiti,7697,hard
48203241,jtulley/Activiti,6004,hard
50299663,wwjiang007/Activiti,10593,hard
56639729,purvendra-k/Activiti,7452,hard
57351356,anoopvrma/Activiti,7683,hard
57725438,deanwong/Activiti,7580,hard
58581260,kenjiuno/Activiti,5998,hard
59321010,gotemkr/Activiti,7530,hard
63668017,fmcejudo/Activiti,7711,hard
64408156,martinhanes/Activiti,6035,hard
65287298,cijujoseph/Activiti,7644,hard
69240886,abdotalaat/Activiti,7591,hard
73667740,canjian215215/Activiti,7684,hard
75908965,stefan-ziel/Activiti,7641,hard
83211630,propersoft-cn/Activiti,4327,hard
103084255,inventure/Activiti,7578,hard
107381097,ryandawsonuk/Activiti,7817,hard
108288453,MiguelRuizDev/Activiti,7890,hard
112085730,DiffBlue-benchmarks/Activiti,8331,hard
113283468,bBblach/Activiti,7878,hard
10955546,ejyanezp/Activiti-1,4626,hard
3025,parrt/antlr4,7336,social
16633,sharwell/antlr4,6750,hard
171390,antlr/antlr4,7441,baseline
2641469,mdakin/antlr4,6638,hard
4669568,HSorensen/antlr4,7161,hard
9029808,ericvergnaud/antlr4,7176,social
11357355,steinwaywhw/antlr4,2863,hard
11640180,deklanowski/antlr4,2868,hard
11950536,jeduden/antlr4,2953,hard
