repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_Hard_fork,full_name,owner_id,name,created_at,updated_at,build_file,ALL,0.7,0.9,0.3,1 Commit
147,NULL,147,NULL,0,NULL,0,JakeWharton/ActionBarSherlock,896,ActionBarSherlock,40609.72778,43615.17917,pom.xml,Parent,Parent,Parent,Parent,Parent
209514,147,147,NULL,1,NULL,0,path/ActionBarSherlock,323921,ActionBarSherlock,41100.99931,42661.26875,pom.xml,Hard,Social,Social,Social,Hard
269833,147,147,NULL,1,NULL,0,defer/ActionBarSherlock,26972,ActionBarSherlock,40984.51736,25569.04167,pom.xml,Hard,Social,Social,Social,Hard
278435,147,147,NULL,1,NULL,0,futuresimple/ActionBarSherlock,28724,ActionBarSherlock,41137.35833,42661.88264,pom.xml,Hard,Social,Social,Social,Hard
2343340,1735275,1735275,NULL,1,NULL,0,cdedie/flyway,152270,flyway,41261.88056,42410.02639,pom.xml,Hard,Social,Social,Social,Social
306601,147,147,NULL,1,NULL,0,ChrisSmith/ActionBarSherlock,110088,ActionBarSherlock,40928.15972,42662.30625,pom.xml,Social,Social,Social,Social,Hard
331355,147,147,NULL,1,NULL,0,xperimental/ActionBarSherlock,352594,ActionBarSherlock,40763.57361,42662.36944,pom.xml,Social,Social,Social,Social,Social
475308,147,147,NULL,1,NULL,0,grubster/ActionBarSherlock,574508,ActionBarSherlock,41143.625,42699.70208,pom.xml,Hard,Social,Social,Social,Hard
13058317,13350226,13350226,NULL,1,NULL,0,zhaofengli/Flym,4666639,Flym,41944.12986,42436.24236,build.gradle,Social,Social,Social,Social,Hard
1582972,147,147,NULL,1,NULL,0,mkonecny/ActionBarSherlock,3897,ActionBarSherlock,41243.15833,42428.56042,pom.xml,Social,Social,Social,Social,Hard
1674425,147,147,NULL,1,NULL,0,twotoasters/ActionBarSherlock,31693,ActionBarSherlock,40982.87083,42434.70347,pom.xml,Hard,Social,Social,Social,Hard
1719063,147,147,NULL,1,NULL,0,egeniq-forks/ActionBarSherlock,683148,ActionBarSherlock,41248.45139,42704.37014,pom.xml,Hard,Social,Social,Social,Hard
8302272,7694902,7694902,NULL,1,NULL,0,saadmufti/metrics,2210008,metrics,41928.65903,42432.29653,pom.xml,Hard,Social,Social,Social,Hard
1797980,147,147,NULL,1,NULL,0,nguyenhuy/ActionBarSherlock,142849,ActionBarSherlock,41289.20139,42429.83819,pom.xml,Hard,Social,Social,Social,Hard
1798065,147,147,NULL,1,NULL,0,scompt/ActionBarSherlock,44630,ActionBarSherlock,40982.41111,42432.57014,pom.xml,Hard,Social,Social,Social,Hard
1799775,147,147,NULL,1,NULL,0,shazam/ActionBarSherlock,238949,ActionBarSherlock,41200.62639,42704.95556,pom.xml,Social,Social,Social,Social,Hard
59507056,17991525,17991525,NULL,1,NULL,0,Guardiannw/react-native,2979366,react-native,42806.90764,25570,build.gradle,Hard,Social,Social,Social,Hard
2885685,147,147,NULL,1,NULL,0,tonchidot/ActionBarSherlock,150952,ActionBarSherlock,41332.45486,42434.47847,pom.xml,Hard,Social,Social,Social,Hard
3402487,147,147,NULL,1,NULL,0,levelup/ActionBarSherlock,355604,ActionBarSherlock,41381.39583,43446.3125,pom.xml,Social,Social,Social,Social,Hard
4869913,147,147,4869913,1,0,1,lookout/ActionBarSherlock,226531,ActionBarSherlock,41495.71667,42426.29931,both pom and build,Hard,Hard,Hard,Hard,Hard
43627795,7025061,7025061,NULL,1,NULL,0,minyushov/Calligraphy,10989919,Calligraphy,42598.52778,25570,build.gradle,Hard,Hard,Hard,Hard,Hard
5222558,147,147,NULL,1,NULL,0,johnjohndoe/ActionBarSherlock,21511,ActionBarSherlock,41522.39375,42422.92778,both pom and build,Social,Social,Social,Social,Hard
6683806,147,147,NULL,1,NULL,0,netmarketing/ActionBarSherlock,1835439,ActionBarSherlock,41370.56875,42429.74931,both pom and build,Hard,Hard,Hard,Hard,Hard
190,NULL,190,NULL,0,NULL,0,Netflix/SimianArmy,1600,SimianArmy,41096.91667,43615.28472,build.gradle,Parent,Parent,Parent,Parent,Parent
70010573,18740233,18740233,NULL,1,NULL,0,kumarvarun1252/Hygieia,5443270,Hygieia,42935.80625,43581.78333,pom.xml,Social,Social,Social,Social,Hard
296307,190,190,296307,1,0,1,IngmarKrusch/SimianArmy,152194,SimianArmy,41131.36528,43510.31319,build.gradle,Hard,Hard,Hard,Social,Hard
363810,190,190,NULL,1,NULL,0,michaelnflx/SimianArmy,377894,SimianArmy,41120.95278,42662.46458,build.gradle,Social,Social,Social,Social,Hard
1716373,190,190,NULL,1,NULL,0,michaelneale/SimianArmy,39174,SimianArmy,41253.34167,42704.36458,build.gradle,Hard,Social,Social,Social,Hard
121117433,14807988,14807988,NULL,1,NULL,0,ajliualiyun/flink,48420484,flink,43459.31389,43532.28125,pom.xml,Hard,Social,Social,Social,Hard
3643688,190,190,NULL,1,NULL,0,nicktgr15/SimianArmy,1419655,SimianArmy,41450.37708,42429.91875,build.gradle,Hard,Social,Social,Social,Hard
17786687,190,190,NULL,1,NULL,0,AutoScout24/SimianArmy,2254207,SimianArmy,42084.92917,42407.19028,build.gradle,Hard,Hard,Hard,Hard,Hard
28780199,190,190,NULL,1,NULL,0,stitchfix/SimianArmy,789301,SimianArmy,42321.89931,42433.55903,build.gradle,Hard,Social,Social,Social,Hard
75414757,14807988,14807988,NULL,1,NULL,0,1m2c3t4/flink,37035359,flink,43000.66181,25570,pom.xml,Social,Social,Social,Social,Hard
49162952,190,190,NULL,1,NULL,0,iixlabs/manic-monkey,4647727,manic-monkey,42668.21389,25570,build.gradle,Hard,Hard,Hard,Hard,Hard
54372550,190,190,NULL,1,NULL,0,BetterCodeHubTraining/training-assignments-medium,32518853,training-assignments-medium,42717.66528,43563.53125,build.gradle,Hard,Social,Social,Social,Hard
59968546,190,190,NULL,1,NULL,0,mqhenning/SimianArmy,31869834,SimianArmy,42811.61806,25570,build.gradle,Hard,Social,Social,Social,Hard
46648671,1735275,1735275,NULL,1,NULL,0,khatkar/flyway,4296551,flyway,42639.84028,43601.58472,pom.xml,Social,Social,Social,Social,Hard
102613541,190,190,NULL,1,NULL,0,archthegit/SimianArmy,35859319,SimianArmy,43282.31389,25570,build.gradle,Hard,Social,Social,Social,Hard
1554,NULL,1554,NULL,0,NULL,0,Graylog2/graylog2-server,8708,graylog2-server,40315.89375,43616.62778,pom.xml,Parent,Parent,Parent,Parent,Parent
131381,1554,1554,131381,1,0,1,racker/graylog2-server,982,graylog2-server,40892.93125,43559.64722,pom.xml,Hard,Hard,Hard,Social,Hard
71933986,17991525,17991525,NULL,1,NULL,0,blargity/react-native,1082412,react-native,42959.18819,25570,build.gradle,Social,Social,Social,Social,Hard
226127,1554,1554,NULL,1,NULL,0,MahiFX/graylog2-server,439161,graylog2-server,41135.65139,42661.62014,pom.xml,Hard,Hard,Hard,Social,Hard
348283,1554,1554,NULL,1,NULL,0,kroepke/graylog2-server,49039,graylog2-server,41828.44792,42662.42083,pom.xml,Hard,Social,Social,Social,Hard
95256302,6494034,6494034,95256302,1,0,1,SmartCash/smartcashj,34900164,smartcashj,43201.11597,43594.32153,build.gradle,Social,Social,Social,Social,Hard
418355,418354,1554,NULL,2,NULL,0,madAndroid/graylog2-server,158190,graylog2-server,41141.40903,42699.46667,pom.xml,Social,Social,Social,Social,Hard
418387,1554,1554,NULL,1,NULL,0,sazze/graylog2-server,67705,graylog2-server,40679.70764,42699.46667,pom.xml,Hard,Hard,Hard,Social,Hard
1464833,1554,1554,NULL,1,NULL,0,jbarciauskas/graylog2-server,75325,graylog2-server,40898.82569,42421.71597,pom.xml,Hard,Hard,Hard,Social,Hard
19495255,190,190,NULL,1,NULL,0,ebukoski/SimianArmy,6943911,SimianArmy,42405.1125,42414.98819,build.gradle,Social,Social,Social,Social,Hard
1464907,1554,1554,NULL,1,NULL,0,smasset/graylog2-server,932577,graylog2-server,41209.24861,42433.18056,pom.xml,Hard,Hard,Hard,Social,Hard
132472987,45297,45297,NULL,1,NULL,0,sdreynolds/kafka,41286097,kafka,43568.96875,43608.28819,build.gradle,Social,Social,Social,Social,Hard
2254768,1554,1554,NULL,1,NULL,0,kbrockhoff/graylog2-server,1396307,graylog2-server,41289.58542,42424.18056,pom.xml,Hard,Hard,Hard,Social,Hard
3406988,1554,1554,NULL,1,NULL,0,h0nIg/graylog2-server,930429,graylog2-server,41382.87847,42418.36736,pom.xml,Hard,Hard,Hard,Social,Hard
8202667,1554,1554,NULL,1,NULL,0,craigwblake/graylog2-server,431165,graylog2-server,41695.60069,42411.76528,pom.xml,Hard,Social,Social,Social,Hard
39727987,17991525,17991525,NULL,1,NULL,0,jvassbo/react-native,2521670,react-native,42543.29514,25570,build.gradle,Social,Social,Social,Social,Hard
46175646,1554,1554,NULL,1,NULL,0,omercnet/graylog2-server,355607,graylog2-server,42633.55625,25570,pom.xml,Social,Social,Social,Social,Hard
46668387,1554,1554,NULL,1,NULL,0,shinnytech/graylog2-server,31233749,graylog2-server,42640.12014,43616.27847,pom.xml,Hard,Social,Social,Social,Hard
68358145,1554,1554,NULL,1,NULL,0,openHappy/graylog2-server,33255579,graylog2-server,42915.33819,43550.22778,pom.xml,Hard,Social,Social,Social,Hard
559252,13874,13874,NULL,1,NULL,0,eugeneiiim/avro,294959,avro,41148.42847,42700.02569,pom.xml,Hard,Social,Social,Social,Hard
75600466,1554,1554,NULL,1,NULL,0,wwjiang007/graylog2-server,31915668,graylog2-server,43003.37083,25570,pom.xml,Hard,Social,Social,Social,Hard
94246087,1554,1554,NULL,1,NULL,0,muralibasani/graylog2-server,42740932,graylog2-server,43198.79236,43613.89306,pom.xml,Social,Social,Social,Social,Hard
118888903,1554,1554,NULL,1,NULL,0,eightnoneone/graylog2-server,697524,graylog2-server,43437.92361,43439.55139,pom.xml,Social,Social,Social,Social,Hard
75796464,30777963,30777963,NULL,1,NULL,0,3cky/openhab2-addons,666398,openhab2-addons,43004.85764,43515.80208,pom.xml,Social,Social,Social,Social,Hard
1958,NULL,1958,NULL,0,NULL,0,infinispan/infinispan,9948,infinispan,40486.52292,43616.54653,pom.xml,Parent,Parent,Parent,Parent,Parent
2018,1958,1958,NULL,1,NULL,0,pferraro/infinispan,10235,infinispan,40504.66111,43616.11458,pom.xml,Social,Social,Social,Social,Social
2019,1958,1958,NULL,1,NULL,0,danberindei/infinispan,10239,infinispan,40513.52917,43616.33264,pom.xml,Social,Social,Social,Social,Social
388995,7694902,7694902,NULL,1,NULL,0,chids/metrics,30450,metrics,40672.55139,42662.61806,pom.xml,Hard,Social,Social,Social,Hard
67812,1958,1958,NULL,1,NULL,0,mmarkus/infinispan,10250,infinispan,40548.54236,42656.37569,pom.xml,Hard,Social,Social,Social,Social
67963,1958,1958,NULL,1,NULL,0,tsykora/infinispan,170450,infinispan,41109.47986,42656.37639,pom.xml,Social,Social,Social,Social,Hard
68002,1958,1958,NULL,1,NULL,0,galderz/infinispan,10233,infinispan,40702.33403,43614.38889,pom.xml,Hard,Social,Social,Social,Hard
60795249,17991525,17991525,NULL,1,NULL,0,karanjthakkar/react-native,961190,react-native,42821.8,43595.98542,build.gradle,Social,Social,Social,Social,Hard
84459,1958,1958,NULL,1,NULL,0,anistor/infinispan,10249,infinispan,41051.66389,43614.49375,pom.xml,Social,Social,Social,Social,Social
91042,1958,1958,91042,1,0,1,pruivo/infinispan,179340,infinispan,40973.44444,43616.63681,pom.xml,Social,Social,Social,Social,Social
96542,1958,1958,NULL,1,NULL,0,Sanne/infinispan,10254,infinispan,40500.64861,43612.68472,pom.xml,Social,Social,Social,Social,Social
14300629,7295625,7295625,NULL,1,NULL,0,openhab/smarthome,2571419,smarthome,41993.81319,43584.83611,pom.xml,Social,Social,Social,Social,Hard
158501,1958,1958,NULL,1,NULL,0,tristantarrant/infinispan,10234,infinispan,40736.45764,43616.52292,pom.xml,Social,Social,Social,Social,Social
210467,1958,1958,NULL,1,NULL,0,maniksurtani/infinispan,10244,infinispan,40487.41597,42661.27292,pom.xml,Social,Social,Social,Social,Social
223468,1958,1958,NULL,1,NULL,0,wburns/infinispan,10236,infinispan,40847.64653,43616.84931,pom.xml,Social,Social,Social,Social,Social
68847492,17770132,17770132,NULL,1,NULL,0,NetscoutEnterprise/FloatingActionMenu,35509586,FloatingActionMenu,42921.74167,25570,build.gradle,Hard,Hard,Hard,Hard,Hard
