full_name,repo_id,All,70%,90%,30%
JakeWharton/ActionBarSherlock,1451060,Parent,Parent,Parent,Parent
path/ActionBarSherlock,4982282,Hard,Social,Social,Social
cdedie/flyway,7230455,Hard,Social,Social,Social
defer/ActionBarSherlock,3739133,Hard,Social,Social,Social
zhaofengli/Flym,26040368,Social,Social,Social,Social
futuresimple/ActionBarSherlock,5436618,Hard,Social,Social,Social
saadmufti/metrics,25309488,Hard,Social,Social,Social
ChrisSmith/ActionBarSherlock,3223568,Social,Social,Social,Social
Guardiannw/react-native,84759862,Hard,Social,Social,Social
xperimental/ActionBarSherlock,2173501,Social,Social,Social,Social
minyushov/Calligraphy,65819146,Hard,Hard,Hard,Hard
grubster/ActionBarSherlock,5511007,Hard,Social,Social,Social
kumarvarun1252/Hygieia,129979477,Social,Social,Social,Social
mkonecny/ActionBarSherlock,6933047,Social,Social,Social,Social
ajliualiyun/flink,199474178,Hard,Social,Social,Social
twotoasters/ActionBarSherlock,3722218,Hard,Social,Social,Social
1m2c3t4/flink,104492517,Social,Social,Social,Social
egeniq-forks/ActionBarSherlock,7015857,Hard,Social,Social,Social
khatkar/flyway,69288634,Social,Social,Social,Social
nguyenhuy/ActionBarSherlock,7618782,Hard,Social,Social,Social
blargity/react-native,100089086,Social,Social,Social,Social
scompt/ActionBarSherlock,3716319,Hard,Social,Social,Social
SmartCash/smartcashj,129024490,Social,Social,Social,Social
shazam/ActionBarSherlock,6280513,Social,Social,Social,Social
tonchidot/ActionBarSherlock,8454151,Hard,Social,Social,Social
sdreynolds/kafka,181238218,Social,Social,Social,Social
levelup/ActionBarSherlock,9493984,Social,Social,Social,Social
jvassbo/react-native,61696820,Social,Social,Social,Social
lookout/ActionBarSherlock,12006344,Hard,Hard,Hard,Hard
eugeneiiim/avro,5569505,Hard,Social,Social,Social
johnjohndoe/ActionBarSherlock,12614087,Social,Social,Social,Social
3cky/openhab2-addons,104935031,Social,Social,Social,Social
netmarketing/ActionBarSherlock,9260467,Hard,Hard,Hard,Hard
chids/metrics,1722526,Hard,Social,Social,Social
Netflix/SimianArmy,4931659,Parent,Parent,Parent,Parent
karanjthakkar/react-native,86374238,Social,Social,Social,Social
IngmarKrusch/SimianArmy,5366924,Hard,Hard,Hard,Social
openhab/smarthome,99515922,Social,Social,Social,Social
michaelnflx/SimianArmy,5238916,Social,Social,Social,Social
NetscoutEnterprise/FloatingActionMenu,96346109,Hard,Hard,Hard,Hard
michaelneale/SimianArmy,7089733,Hard,Social,Social,Social
aftersss/reactor-core,183233887,Social,Social,Social,Social
coryb/SimianArmy,9899323,Social,Social,Social,Social
alvinthen/react-native,55277622,Hard,Social,Social,Social
nicktgr15/SimianArmy,10933547,Hard,Social,Social,Social
leoilab/cameraview,82306755,Hard,Hard,Hard,Hard
AutoScout24/SimianArmy,32652260,Hard,Hard,Hard,Hard
koqizhao/kafka,129086393,Social,Social,Social,Social
ebukoski/SimianArmy,51121568,Social,Social,Social,Social
zoln/pinpoint,67298263,Hard,Social,Social,Social
stitchfix/SimianArmy,46148493,Hard,Social,Social,Social
hdpe/OpenID-Connect-Java-Spring-Server,82181843,Social,Social,Social,Social
iixlabs/manic-monkey,71861542,Hard,Hard,Hard,Hard
shopkick/zeppelin,114660181,Hard,Social,Social,Social
BetterCodeHubTraining/training-assignments-medium,76374160,Hard,Social,Social,Social
DvdNelson/Hygieia,105769861,Social,Social,Social,Social
mqhenning/SimianArmy,85322973,Hard,Social,Social,Social
Rabrg/scribejava,49458620,Social,Social,Social,Social
archthegit/SimianArmy,139309152,Hard,Social,Social,Social
HugoDaBosss/Glowstone,119204538,Hard,Social,Social,Social
Graylog2/graylog2-server,671825,Parent,Parent,Parent,Parent
