"","repo_id","parent_id","full_name","counter","percentage","ALL","X0.75","X0.5","X0.25","X1.Commit"
"1",209514,"147","path/ActionBarSherlock","1",0.05,"Hard","Hard","Hard","Hard","Social"
"2",269833,"147","defer/ActionBarSherlock","6",1,"Social","Social","Social","Social","Social"
"3",278435,"147","futuresimple/ActionBarSherlock","1",0.09,"Hard","Hard","Hard","Hard","Social"
"4",306601,"147","ChrisSmith/ActionBarSherlock","2",1,"Social","Social","Social","Social","Social"
"5",331355,"147","xperimental/ActionBarSherlock","4",1,"Social","Social","Social","Social","Social"
"6",475308,"147","grubster/ActionBarSherlock","0",0,"Hard","Hard","Hard","Hard","Hard"
"7",1582972,"147","mkonecny/ActionBarSherlock","1",1,"Social","Social","Social","Social","Social"
"8",1674425,"147","twotoasters/ActionBarSherlock","6",0.25,"Hard","Hard","Hard","Social","Social"
"9",1719063,"147","egeniq-forks/ActionBarSherlock","0",0,"Hard","Hard","Hard","Hard","Hard"
"10",1797980,"147","nguyenhuy/ActionBarSherlock","0",0,"Hard","Hard","Hard","Hard","Hard"
"11",1798065,"147","scompt/ActionBarSherlock","1",1,"Social","Social","Social","Social","Social"
"12",1799775,"147","shazam/ActionBarSherlock","1",1,"Social","Social","Social","Social","Social"
"13",2885685,"147","tonchidot/ActionBarSherlock","0",0,"Hard","Hard","Hard","Hard","Hard"
"14",3402487,"147","levelup/ActionBarSherlock","10",1,"Social","Social","Social","Social","Social"
"15",4869913,"147","lookout/ActionBarSherlock","6",0.25,"Hard","Hard","Hard","Social","Social"
"16",5222558,"147","johnjohndoe/ActionBarSherlock","13",1,"Social","Social","Social","Social","Social"
"17",6683806,"147","netmarketing/ActionBarSherlock","0",0,"Hard","Hard","Hard","Hard","Hard"
"18",296307,"190","IngmarKrusch/SimianArmy","4",0.09,"Hard","Hard","Hard","Hard","Social"
"19",363810,"190","michaelnflx/SimianArmy","56",1,"Social","Social","Social","Social","Social"
"20",1716373,"190","michaelneale/SimianArmy","1",0.5,"Hard","Hard","Social","Social","Social"
"21",1856228,"190","coryb/SimianArmy","3",1,"Social","Social","Social","Social","Social"
"22",3643688,"190","nicktgr15/SimianArmy","3",1,"Social","Social","Social","Social","Social"
"23",17786687,"190","AutoScout24/SimianArmy","10",0.91,"Hard","Social","Social","Social","Social"
"24",19495255,"190","ebukoski/SimianArmy","23",1,"Social","Social","Social","Social","Social"
"25",28780199,"190","stitchfix/SimianArmy","0",0,"Hard","Hard","Hard","Hard","Hard"
"26",49162952,"190","iixlabs/manic-monkey","2",0.02,"Hard","Hard","Hard","Hard","Social"
"27",54372550,"190","BetterCodeHubTraining/training-assignments-medium","0",0,"Hard","Hard","Hard","Hard","Hard"
"28",59968546,"190","mqhenning/SimianArmy","0",0,"Hard","Hard","Hard","Hard","Hard"
"29",102613541,"190","archthegit/SimianArmy","2",0.67,"Hard","Hard","Social","Social","Social"
"30",131381,"1554","racker/graylog2-server","12",0.43,"Hard","Hard","Hard","Social","Social"
"31",226127,"1554","MahiFX/graylog2-server","3",0.43,"Hard","Hard","Hard","Social","Social"
"32",348283,"1554","kroepke/graylog2-server","0",0,"Hard","Hard","Hard","Hard","Hard"
"33",418355,"1554","madAndroid/graylog2-server","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"34",418387,"1554","sazze/graylog2-server","3",0.2,"Hard","Hard","Hard","Hard","Social"
"35",1464833,"1554","jbarciauskas/graylog2-server","6",0.5,"Hard","Hard","Social","Social","Social"
"36",1464907,"1554","smasset/graylog2-server","6",1,"Social","Social","Social","Social","Social"
"37",2254768,"1554","kbrockhoff/graylog2-server","25",0.3,"Hard","Hard","Hard","Social","Social"
"38",3406988,"1554","h0nIg/graylog2-server","7",0.23,"Hard","Hard","Hard","Hard","Social"
"39",8202667,"1554","craigwblake/graylog2-server","29",0.94,"Hard","Social","Social","Social","Social"
"40",32331012,"1554","pdepaepe/graylog2-server","30",0.68,"Hard","Hard","Social","Social","Social"
"41",33082486,"1554","gitfrederic/graylog2-server","2",1,"Social","Social","Social","Social","Social"
"42",46668387,"1554","shinnytech/graylog2-server","0",0,"Hard","Hard","Hard","Hard","Hard"
"43",68358145,"1554","openHappy/graylog2-server","0",0,"Hard","Hard","Hard","Hard","Hard"
"44",75600466,"1554","wwjiang007/graylog2-server","0",0,"Hard","Hard","Hard","Hard","Hard"
"45",85437730,"1554","jehuty0shift/graylog2-server","4",1,"Social","Social","Social","Social","Social"
"46",89321187,"1554","pbr0ck3r/graylog2-server","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
