full_name,repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_hard_fork,url,counter,percent_with_unique_commits_message,percent_with_unique_commits_sha,num_of_unique_commits_with_message,num_of_unique_commits_with_sha,num_of_commits
path/ActionBarSherlock,209514,147,147,NULL,1,NULL,0,https://api.github.com/repos/path/ActionBarSherlock,1,0.06,0.05,17,18,1237
defer/ActionBarSherlock,269833,147,147,NULL,1,NULL,0,https://api.github.com/repos/defer/ActionBarSherlock,6,1.00,1.00,0,0,1086
futuresimple/ActionBarSherlock,278435,147,147,NULL,1,NULL,0,https://api.github.com/repos/futuresimple/ActionBarSherlock,1,0.09,0.09,10,10,1229
ChrisSmith/ActionBarSherlock,306601,147,147,NULL,1,NULL,0,https://api.github.com/repos/ChrisSmith/ActionBarSherlock,2,1.00,1.00,0,0,1306
xperimental/ActionBarSherlock,331355,147,147,NULL,1,NULL,0,https://api.github.com/repos/xperimental/ActionBarSherlock,4,1.00,1.00,0,0,1191
grubster/ActionBarSherlock,475308,147,147,NULL,1,NULL,0,https://api.github.com/repos/grubster/ActionBarSherlock,0,0.00,0.00,4,4,1223
mkonecny/ActionBarSherlock,1582972,147,147,NULL,1,NULL,0,https://api.github.com/repos/mkonecny/ActionBarSherlock,1,1.00,1.00,0,0,1307
twotoasters/ActionBarSherlock,1674425,147,147,NULL,1,NULL,0,https://api.github.com/repos/twotoasters/ActionBarSherlock,6,0.26,0.25,17,18,1324
egeniq-forks/ActionBarSherlock,1719063,147,147,NULL,1,NULL,0,https://api.github.com/repos/egeniq-forks/ActionBarSherlock,0,0.00,0.00,11,13,1319
nguyenhuy/ActionBarSherlock,1797980,147,147,NULL,1,NULL,0,https://api.github.com/repos/nguyenhuy/ActionBarSherlock,0,0.00,0.00,12,14,1320
scompt/ActionBarSherlock,1798065,147,147,NULL,1,NULL,0,https://api.github.com/repos/scompt/ActionBarSherlock,1,1.00,1.00,0,0,1087
shazam/ActionBarSherlock,1799775,147,147,NULL,1,NULL,0,https://api.github.com/repos/shazam/ActionBarSherlock,1,1.00,1.00,0,0,1306
tonchidot/ActionBarSherlock,2885685,147,147,NULL,1,NULL,0,https://api.github.com/repos/tonchidot/ActionBarSherlock,0,0.00,0.00,6,6,1440
levelup/ActionBarSherlock,3402487,147,147,NULL,1,NULL,0,https://api.github.com/repos/levelup/ActionBarSherlock,10,1.00,1.00,0,0,1415
lookout/ActionBarSherlock,4869913,147,147,4869913,1,0,1,https://api.github.com/repos/lookout/ActionBarSherlock,6,0.25,0.25,18,18,1497
johnjohndoe/ActionBarSherlock,5222558,147,147,NULL,1,NULL,0,https://api.github.com/repos/johnjohndoe/ActionBarSherlock,13,1.00,1.00,0,0,1479
netmarketing/ActionBarSherlock,6683806,147,147,NULL,1,NULL,0,https://api.github.com/repos/netmarketing/ActionBarSherlock,0,0.00,0.00,11,17,1496
IngmarKrusch/SimianArmy,296307,190,190,296307,1,0,1,https://api.github.com/repos/IngmarKrusch/SimianArmy,4,0.10,0.09,36,40,306
michaelnflx/SimianArmy,363810,190,190,NULL,1,NULL,0,https://api.github.com/repos/michaelnflx/SimianArmy,56,1.00,1.00,0,0,276
michaelneale/SimianArmy,1716373,190,190,NULL,1,NULL,0,https://api.github.com/repos/michaelneale/SimianArmy,1,0.50,0.50,1,1,187
coryb/SimianArmy,1856228,190,190,NULL,1,NULL,0,https://api.github.com/repos/coryb/SimianArmy,3,1.00,1.00,0,0,516
nicktgr15/SimianArmy,3643688,190,190,NULL,1,NULL,0,https://api.github.com/repos/nicktgr15/SimianArmy,3,1.00,1.00,0,0,282
AutoScout24/SimianArmy,17786687,190,190,NULL,1,NULL,0,https://api.github.com/repos/AutoScout24/SimianArmy,10,0.91,0.91,1,1,801
ebukoski/SimianArmy,19495255,190,190,NULL,1,NULL,0,https://api.github.com/repos/ebukoski/SimianArmy,23,1.00,1.00,0,0,733
stitchfix/SimianArmy,28780199,190,190,NULL,1,NULL,0,https://api.github.com/repos/stitchfix/SimianArmy,0,0.00,0.00,24,24,656
iixlabs/manic-monkey,49162952,190,190,NULL,1,NULL,0,https://api.github.com/repos/iixlabs/manic-monkey,2,0.02,0.02,86,89,828
BetterCodeHubTraining/training-assignments-medium,54372550,190,190,NULL,1,NULL,0,https://api.github.com/repos/BetterCodeHubTraining/training-assignments-medium,0,0.00,0.00,3,3,749
mqhenning/SimianArmy,59968546,190,190,NULL,1,NULL,0,https://api.github.com/repos/mqhenning/SimianArmy,0,0.00,0.00,3,3,761
archthegit/SimianArmy,102613541,190,190,NULL,1,NULL,0,https://api.github.com/repos/archthegit/SimianArmy,2,0.67,0.67,1,1,794
racker/graylog2-server,131381,1554,1554,131381,1,0,1,https://api.github.com/repos/racker/graylog2-server,12,0.43,0.43,16,16,478
MahiFX/graylog2-server,226127,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/MahiFX/graylog2-server,3,0.50,0.43,3,4,1535
kroepke/graylog2-server,348283,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/kroepke/graylog2-server,0,0.00,0.00,1,1,2144
madAndroid/graylog2-server,418355,418354,1554,NULL,2,NULL,0,https://api.github.com/repos/madAndroid/graylog2-server,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,451
sazze/graylog2-server,418387,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/sazze/graylog2-server,3,0.23,0.20,10,12,479
jbarciauskas/graylog2-server,1464833,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/jbarciauskas/graylog2-server,6,0.50,0.50,6,6,462
smasset/graylog2-server,1464907,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/smasset/graylog2-server,6,1.00,1.00,0,0,880
kbrockhoff/graylog2-server,2254768,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/kbrockhoff/graylog2-server,25,0.34,0.30,48,58,1896
h0nIg/graylog2-server,3406988,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/h0nIg/graylog2-server,7,0.23,0.23,24,24,914
craigwblake/graylog2-server,8202667,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/craigwblake/graylog2-server,29,0.97,0.94,1,2,1742
pdepaepe/graylog2-server,32331012,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/pdepaepe/graylog2-server,30,0.68,0.68,14,14,11959
gitfrederic/graylog2-server,33082486,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/gitfrederic/graylog2-server,2,1.00,1.00,0,0,11299
shinnytech/graylog2-server,46668387,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/shinnytech/graylog2-server,0,0.00,0.00,2,2,11983
openHappy/graylog2-server,68358145,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/openHappy/graylog2-server,0,0.00,0.00,2,2,14488
wwjiang007/graylog2-server,75600466,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/wwjiang007/graylog2-server,0,0.00,0.00,3,3,13939
jehuty0shift/graylog2-server,85437730,32331012,1554,NULL,2,NULL,0,https://api.github.com/repos/jehuty0shift/graylog2-server,4,1.00,1.00,0,0,11959
pbr0ck3r/graylog2-server,89321187,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/pbr0ck3r/graylog2-server,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,14463
muralibasani/graylog2-server,94246087,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/muralibasani/graylog2-server,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,14005
eightnoneone/graylog2-server,118888903,1554,1554,NULL,1,NULL,0,https://api.github.com/repos/eightnoneone/graylog2-server,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,14294
pferraro/infinispan,2018,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/pferraro/infinispan,21,1.00,1.00,0,0,11699
danberindei/infinispan,2019,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/danberindei/infinispan,515,1.00,1.00,0,0,11699
mmarkus/infinispan,67812,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/mmarkus/infinispan,0,0.00,0.00,1,1,5833
tsykora/infinispan,67963,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/tsykora/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,7082
galderz/infinispan,68002,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/galderz/infinispan,200,0.98,0.96,5,8,1433
anistor/infinispan,84459,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/anistor/infinispan,318,1.00,1.00,0,0,11699
pruivo/infinispan,91042,1958,1958,91042,1,0,1,https://api.github.com/repos/pruivo/infinispan,162,1.00,1.00,0,0,11699
Sanne/infinispan,96542,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/Sanne/infinispan,110,1.00,1.00,0,0,11699
tristantarrant/infinispan,158501,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/tristantarrant/infinispan,445,1.00,1.00,0,1,5182
maniksurtani/infinispan,210467,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/maniksurtani/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5954
vblagoje/infinispan,213186,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/vblagoje/infinispan,20,1.00,0.95,0,1,7061
wburns/infinispan,223468,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/wburns/infinispan,288,1.00,1.00,0,0,11695
pmuir/infinispan,245159,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/pmuir/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3395
justinhayes/infinispan,284300,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/justinhayes/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3604
rhusar/infinispan,343952,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/rhusar/infinispan,13,1.00,1.00,0,0,11699
luksa/infinispan,372949,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/luksa/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3116
dvanbalen/infinispan,384702,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/dvanbalen/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4152
gscheibel/infinispan,421829,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/gscheibel/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4965
mgencur/infinispan,547776,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/mgencur/infinispan,10,1.00,1.00,0,0,2638
alesj/infinispan,557198,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/alesj/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,11698
belaban/infinispan,558106,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/belaban/infinispan,0,0.00,0.00,7,24,4488
andyuk1986/infinispan,690503,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/andyuk1986/infinispan,3,1.00,1.00,0,0,11698
kevinpollet/infinispan,690505,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/kevinpollet/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3793
an1310/infinispan,737087,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/an1310/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,7273
navssurtani/infinispan,820518,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/navssurtani/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6952
normanmaurer/infinispan,1025831,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/normanmaurer/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5782
gustavonalle/infinispan,1042502,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/gustavonalle/infinispan,272,1.00,1.00,0,0,11699
BrentDouglas/infinispan,1427922,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/BrentDouglas/infinispan,0,0.00,0.00,1,1,5701
mlinhard/infinispan,1427958,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/mlinhard/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5841
scottmarlow/infinispan,1427966,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/scottmarlow/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4489
julia-wei/infinispan,1875976,737087,1958,NULL,2,NULL,0,https://api.github.com/repos/julia-wei/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5043
rvansa/infinispan,2914535,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/rvansa/infinispan,211,1.00,1.00,0,0,7156
didona/infinispan,3557945,91042,1958,91042,2,1,1,https://api.github.com/repos/didona/infinispan,13,1.00,1.00,0,0,4989
rpelisse/infinispan,3699449,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/rpelisse/infinispan,4,1.00,1.00,0,0,5560
otrack/Leads-infinispan,4617484,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/otrack/Leads-infinispan,0,0.00,0.00,288,381,7144
alanfx/infinispan,4783143,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/alanfx/infinispan,5,1.00,1.00,0,0,5633
Holmistr/infinispan,4946791,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/Holmistr/infinispan,6,1.00,1.00,0,0,7878
jmarkos/infinispan,5458072,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/jmarkos/infinispan,9,1.00,1.00,0,0,6037
vjuranek/infinispan,6714334,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/vjuranek/infinispan,42,1.00,1.00,0,0,9125
Cotton-Ben/infinispan,7790134,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/Cotton-Ben/infinispan,0,0.00,0.00,72,99,5983
altanis/infinispan,11179922,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/altanis/infinispan,1,1.00,0.50,0,1,6449
slaskawi/infinispan,11695653,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/slaskawi/infinispan,114,0.97,0.87,4,17,9208
Martinsos/infinispan,12645588,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/Martinsos/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6618
ryanemerson/infinispan,21060540,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/ryanemerson/infinispan,320,1.00,1.00,0,0,11693
anujshahwork/infinispan,22693558,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/anujshahwork/infinispan,0,0.00,0.00,3,3,7399
rigazilla/infinispan,29096790,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/rigazilla/infinispan,11,1.00,1.00,0,0,7691
tsegismont/infinispan,46630288,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/tsegismont/infinispan,2,1.00,1.00,0,0,10540
panossot/infinispan,47533435,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/panossot/infinispan,2,1.00,1.00,0,0,8638
zmyer/infinispan,57253008,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/zmyer/infinispan,2,0.50,0.20,2,8,11706
karesti/infinispan,58689463,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/karesti/infinispan,138,1.00,1.00,0,0,9070
paoloantinori/infinispan,60779035,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/paoloantinori/infinispan,3,1.00,1.00,0,0,9182
skymysky/infinispan,76686971,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/skymysky/infinispan,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,11690
diegolovison/infinispan,83438281,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/diegolovison/infinispan,46,1.00,1.00,0,0,11698
fax4ever/infinispan,83794253,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/fax4ever/infinispan,5,1.00,1.00,0,0,11699
haster/infinispan,91713993,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/haster/infinispan,2,1.00,1.00,0,0,10512
oraNod/infinispan,107044107,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/oraNod/infinispan,64,1.00,1.00,0,0,11699
gborp/infinispan,124151723,1958,1958,NULL,1,NULL,0,https://api.github.com/repos/gborp/infinispan,1,1.00,1.00,0,0,11376
Yofel/Essentials,44309,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/Yofel/Essentials,2,0.01,0.00,300,2859,2860
Zenexer/Essentials,542894,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/Zenexer/Essentials,0,0.00,0.00,529,3108,3109
riki652/Essentials,1798125,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/riki652/Essentials,1,0.00,0.00,290,2849,2850
nikooo14/Essentials,1799726,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/nikooo14/Essentials,29,0.07,0.01,414,2987,2988
killed37/Essentials,1868568,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/killed37/Essentials,30,0.06,0.01,449,3025,3026
skmedix/Essentials,2001118,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/skmedix/Essentials,2,0.07,0.00,26,4066,4067
Skylexia/Essentials,2625846,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/Skylexia/Essentials,1,0.04,0.00,26,4059,4060
thekid23/Essentials,3509010,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/thekid23/Essentials,30,0.05,0.01,583,3165,3166
FearFree/Essentials,5504194,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/FearFree/Essentials,14,0.26,0.00,40,4244,4245
KingFaris10/Essentials,5577470,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/KingFaris10/Essentials,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4815
wolfwork/Essentials,6681816,4143,4143,NULL,1,NULL,0,https://api.github.com/repos/wolfwork/Essentials,0,0.00,0.00,30,4327,4328
TotalFreedom/TF-Essentials,17870394,4143,4143,17870394,1,0,1,https://api.github.com/repos/TotalFreedom/TF-Essentials,0,0.00,0.00,40,4338,4339
Agazed/Essentials,24109305,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/Agazed/Essentials,5,0.50,0.42,5,7,5391
nathampa0909/Essentials,35828409,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/nathampa0909/Essentials,6,1.00,1.00,0,0,4625
md678685/Essentials,44108866,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/md678685/Essentials,0,0.00,0.00,6,7,4763
N3FS/Essentials,44108886,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/N3FS/Essentials,189,0.97,0.96,6,7,4763
lucko/Essentials,51056927,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/lucko/Essentials,3,1.00,1.00,0,0,5451
SavageCore/Essentials,58076961,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/SavageCore/Essentials,1,1.00,1.00,0,0,4779
AwesomePowered/Essentials,62258490,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/AwesomePowered/Essentials,2,0.33,0.33,4,4,4937
NJDaeger/Essentials,67984523,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/NJDaeger/Essentials,1,1.00,1.00,0,0,4992
Minehut/Essentials,68005721,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/Minehut/Essentials,0,0.00,0.00,4,4,4899
delbertina/Essentials,69094490,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/delbertina/Essentials,36,0.42,0.42,49,49,4931
MagnaRisa/Essentials,69687496,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/MagnaRisa/Essentials,28,1.00,1.00,0,0,4882
phonyfakeorreal/Essentials,69879173,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/phonyfakeorreal/Essentials,0,0.00,0.00,5,5,4817
coreequip/Essentials,71273305,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/coreequip/Essentials,2,0.50,0.50,2,2,4824
FadeCloudNW/Essentials,73094269,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/FadeCloudNW/Essentials,1,0.50,0.50,1,1,4851
CDAGaming/Essentials,73814554,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/CDAGaming/Essentials,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4976
MartenM/Essentials,79536808,3531293,4143,NULL,2,NULL,0,https://api.github.com/repos/MartenM/Essentials,2,0.50,0.50,2,2,5200
pallet/clojure,246363,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/pallet/clojure,0,0.00,0.00,30,30,2155
amalloy/clojure,369898,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/amalloy/clojure,0,0.00,0.00,1,1,3254
hiredman/clojure,832567,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/hiredman/clojure,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2109
maxweber/clojure,1789844,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/maxweber/clojure,1,1.00,1.00,0,0,2036
scgilardi/clojure,1790335,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/scgilardi/clojure,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2206
clojure-android/clojure,3584343,1379873,5874,3584343,2,0,1,https://api.github.com/repos/clojure-android/clojure,0,0.00,0.00,327,362,2811
alexander-yakushev/clojure,9957909,5874,5874,9957909,1,0,1,https://api.github.com/repos/alexander-yakushev/clojure,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2686
arrdem/clojure,13835169,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/arrdem/clojure,0,0.00,0.00,13,13,3180
automenta/clojure,29878800,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/automenta/clojure,0,0.00,0.00,1,1,2878
source-c/clojure,38482226,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/source-c/clojure,0,0.00,0.00,4,4,3277
ollie314/clojure,38876712,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/ollie314/clojure,0,0.00,0.00,4,4,3036
jamieforrest/clojure,44174437,5874,5874,NULL,1,NULL,0,https://api.github.com/repos/jamieforrest/clojure,0,0.00,0.00,1,1,3012
ghosthamlet/clojure,85510715,1379873,5874,NULL,2,NULL,0,https://api.github.com/repos/ghosthamlet/clojure,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2159
jananin/YCSB,7134,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/jananin/YCSB,8,0.73,0.73,3,3,243
adityakishore/YCSB,7164,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/adityakishore/YCSB,0,0.00,0.00,8,8,255
couchbaselabs/YCSB,70196,7118,7118,70196,1,0,1,https://api.github.com/repos/couchbaselabs/YCSB,10,0.48,0.42,11,14,1197
toddlipcon/YCSB,1738573,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/toddlipcon/YCSB,4,0.06,0.06,66,67,129
jbellis/YCSB,1738629,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/jbellis/YCSB,0,0.00,0.00,96,105,372
dhentchel/YCSB,3281686,1931466,7118,NULL,2,NULL,0,https://api.github.com/repos/dhentchel/YCSB,3,0.43,0.33,4,6,256
basho-labs/YCSB,3633345,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/basho-labs/YCSB,30,0.21,0.21,111,114,718
wibidata/YCSB,3748789,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/wibidata/YCSB,0,0.00,0.00,5,5,252
orientechnologies/YCSB,5212023,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/orientechnologies/YCSB,4,0.18,0.15,18,23,774
busbey/YCSB,7790391,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/busbey/YCSB,94,1.00,1.00,0,0,1241
jixuan1989/YCSB,13655348,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/jixuan1989/YCSB,13,0.52,0.52,12,12,1120
risdenk/YCSB,15325726,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/risdenk/YCSB,70,1.00,1.00,0,0,1241
youtube/YCSB,15641071,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/youtube/YCSB,5,0.08,0.08,56,59,878
steffenfriedrich/YCSB,20786622,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/steffenfriedrich/YCSB,1,0.07,0.03,13,30,1212
seybi87/YCSB,28952374,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/seybi87/YCSB,5,0.71,0.71,2,2,1243
CorfuDB/Corfu-YCSB,31429929,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/CorfuDB/Corfu-YCSB,0,0.00,0.00,13,15,1094
TSDBBench/YCSB-TS,31701633,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/TSDBBench/YCSB-TS,6,0.10,0.09,54,64,565
shivam-maharshi/YCSB,31852965,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/shivam-maharshi/YCSB,1,1.00,1.00,0,0,1072
jaemyoun/YCSB,33454885,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/jaemyoun/YCSB,29,0.60,0.59,19,20,1128
nygard89/YCSB,34542996,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/nygard89/YCSB,0,has not unique commit and parent pull request,0.00,0,1,896
voellm/YCSB,38908539,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/voellm/YCSB,2,0.50,0.50,2,2,1236
ysnglt/YCSB,41847887,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/ysnglt/YCSB,0,0.00,0.00,8,8,1190
bigahega/YCSB,44236185,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/bigahega/YCSB,0,0.00,0.00,2,3,1084
kcroaker/YCSB,45651169,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/kcroaker/YCSB,0,0.00,0.00,3,5,1044
javiteri95/KV-replay,48354235,48354236,7118,48354236,2,1,1,https://api.github.com/repos/javiteri95/KV-replay,24,0.71,0.67,10,12,534
ebozag/KV-replay,48354236,7118,7118,48354236,1,0,1,https://api.github.com/repos/ebozag/KV-replay,0,0.00,0.00,83,99,529
jschmieg/YCSB,48661474,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/jschmieg/YCSB,3,0.50,0.50,3,3,1071
obissick/YCSB,55970931,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/obissick/YCSB,1,0.14,0.14,6,6,1247
leschekhomann/YCSB,60739749,7118,7118,NULL,1,NULL,0,https://api.github.com/repos/leschekhomann/YCSB,12,1.00,1.00,0,0,1219
littypl/YCSB-TS,61657416,31701633,7118,NULL,2,NULL,0,https://api.github.com/repos/littypl/YCSB-TS,2,1.00,1.00,0,0,528
