"","repo_id","activityDensity","densitybins","new_jaccard","median_age","median_commits","activity","activity_direction","activity_slope"
"1",147,0.328125,"2",0,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"2",209514,0.00715137067938021,"6",0.914893617021277,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"3",269833,0.00151917964299278,"6",0.904761904761905,2445.5,14.5,"Long-Low","Positive",0.532336878381741
"4",278435,0.00564516129032258,"6",0.911111111111111,2445.5,14.5,"Long-Low","Positive",0.532336878381741
"5",306601,0.0141316474525846,"4",0.902439024390244,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"6",331355,0.00700770847932726,"6",0.911111111111111,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"7",475308,0.00121261115602264,"6",0.911111111111111,2445.5,14.5,"Long-Low","Positive",0.532336878381741
"8",1582972,0.0219039595619208,"4",0.902439024390244,2445.5,14.5,"Short-Heavy","Positive",0.532336878381741
"9",1674425,0.00569259962049336,"6",0.902439024390244,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"10",1719063,0.00253271422541157,"6",0.902439024390244,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"11",1797980,0.00472508591065292,"6",0.902439024390244,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"12",1798065,0.0136622390891841,"4",0.904761904761905,2445.5,14.5,"Long-Heavy","Positive",0.532336878381741
"13",1799775,0.0157219693835333,"4",0.902439024390244,2445.5,14.5,"Short-Heavy","Positive",0.532336878381741
"14",2885685,0.00218818380743982,"6",0.25,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"15",3402487,0.00626118067978533,"6",0.307692307692308,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"16",4869913,0.0056550424128181,"6",0,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"17",5222558,0.00238663484486874,"6",0,2445.5,14.5,"Short-Low","Positive",0.532336878381741
"18",6683806,0.00801068090787717,"6",0,2445.5,14.5,"Short-Heavy","Positive",0.532336878381741
"19",190,0.124157080523602,"3",0,1533,19,"Long-Heavy","Positive",0.0477897269959524
"20",296307,0.0349959774738536,"3",0.52,1533,19,"Long-Heavy","Positive",0.0477897269959524
"21",363810,0.0276331597917501,"4",0.5,1533,19,"Long-Heavy","Positive",0.0477897269959524
"22",1716373,0.00126903553299492,"6",0.608695652173913,1533,19,"Long-Low","Positive",0.0477897269959524
